Year,Latitude,Longitude,NumMosquitos
2007,41.644612,-87.604498,129
2007,41.659112,-87.538693,531
2007,41.662014,-87.724608,1235
2007,41.673408,-87.599862,19134
2007,41.678618,-87.559308,899
2007,41.680946,-87.535198,1785
2007,41.682587,-87.707973,892
2007,41.686398,-87.531635,852
2007,41.688324,-87.676709,1312
2007,41.692555,-87.598865,91
2007,41.702724,-87.536497,2988
2007,41.704336,-87.703736,37
2007,41.704572,-87.565666,2532
2007,41.717753,-87.531657,239
2007,41.719059,-87.675088,126
2007,41.720848,-87.666014,108
2007,41.721474,-87.648064,185
2007,41.723195,-87.64997,80
2007,41.725517,-87.614258,70
2007,41.726465,-87.585413,9321
2007,41.729669,-87.582699,86
2007,41.731922,-87.677512,578
2007,41.732984,-87.649642,227
2007,41.733643,-87.55551,49
2007,41.737052,-87.543067,65
2007,41.740641,-87.546587,444
2007,41.74785,-87.702716,19
2007,41.750498,-87.605294,205
2007,41.754292,-87.590773,92
2007,41.754676,-87.612922,115
2007,41.759346,-87.745602,197
2007,41.766202,-87.562889,155
2007,41.768388,-87.678649,154
2007,41.77166,-87.703047,302
2007,41.772846,-87.740029,61
2007,41.773215,-87.60088,184
2007,41.775051,-87.655356,17
2007,41.776156,-87.778927,237
2007,41.778297,-87.752411,637
2007,41.778748,-87.586427,23
2007,41.781416,-87.776532,65
2007,41.794781,-87.615989,25
2007,41.797616,-87.797894,90
2007,41.798697,-87.736812,284
2007,41.799282,-87.585487,52
2007,41.800737,-87.71188,224
2007,41.801179,-87.679447,254
2007,41.801498,-87.763416,105
2007,41.803423,-87.642984,442
2007,41.821582,-87.627796,174
2007,41.822536,-87.666343,386
2007,41.823065,-87.678378,23
2007,41.82561,-87.726549,120
2007,41.825902,-87.667827,47
2007,41.836644,-87.677737,94
2007,41.837085,-87.729384,52
2007,41.843811,-87.686763,52
2007,41.846075,-87.716277,44
2007,41.846283,-87.656913,33
2007,41.852652,-87.719887,6
2007,41.857402,-87.694991,96
2007,41.862292,-87.64886,135
2007,41.867108,-87.654224,120
2007,41.868077,-87.666901,315
2007,41.868142,-87.696269,141
2007,41.869107,-87.696293,125
2007,41.869216,-87.627561,114
2007,41.883284,-87.705085,36
2007,41.891118,-87.654491,340
2007,41.891126,-87.61156,72
2007,41.896282,-87.655232,107
2007,41.89923,-87.716788,248
2007,41.903002,-87.688267,151
2007,41.906638,-87.701431,249
2007,41.907645,-87.760886,191
2007,41.911824,-87.726737,162
2007,41.916265,-87.800515,347
2007,41.918705,-87.752329,188
2007,41.919343,-87.694259,68
2007,41.921177,-87.79518,171
2007,41.9216,-87.666455,350
2007,41.921965,-87.632085,80
2007,41.923738,-87.785288,347
2007,41.932094,-87.700117,27
2007,41.94016,-87.794896,301
2007,41.942114,-87.776385,50
2007,41.944869,-87.832763,292
2007,41.948167,-87.730698,123
2007,41.94983,-87.698457,72
2007,41.953067,-87.776792,58
2007,41.953705,-87.733974,25
2007,41.95469,-87.800991,740
2007,41.958271,-87.702575,114
2007,41.960616,-87.777189,23
2007,41.961743,-87.76007,39
2007,41.962728,-87.748367,59
2007,41.963976,-87.69181,55
2007,41.964242,-87.757639,214
2007,41.966987,-87.674677,50
2007,41.970248,-87.787992,364
2007,41.974089,-87.824812,169
2007,41.979243,-87.750938,72
2007,41.981964,-87.812827,463
2007,41.984809,-87.728492,49
2007,41.986921,-87.689778,120
2007,41.990284,-87.797127,107
2007,41.991429,-87.747113,160
2007,41.994469,-87.667736,15
2007,41.994991,-87.769279,77
2007,41.999129,-87.795585,230
2007,42.006858,-87.675919,56
2007,42.008314,-87.777921,526
2007,42.010412,-87.66214,29
2007,42.011601,-87.811506,633
2007,42.01743,-87.687769,54
2009,41.659112,-87.538693,186
2009,41.662014,-87.724608,1178
2009,41.673408,-87.599862,529
2009,41.678618,-87.559308,307
2009,41.680946,-87.535198,263
2009,41.682587,-87.707973,483
2009,41.704336,-87.703736,179
2009,41.704572,-87.565666,72
2009,41.720848,-87.666014,304
2009,41.723195,-87.64997,85
2009,41.726465,-87.585413,94
2009,41.728495,-87.600963,58
2009,41.732984,-87.649642,456
2009,41.740641,-87.546587,167
2009,41.743402,-87.731435,1060
2009,41.750498,-87.605294,179
2009,41.753411,-87.639817,28
2009,41.754292,-87.590773,25
2009,41.754676,-87.612922,36
2009,41.766202,-87.562889,14
2009,41.768388,-87.678649,53
2009,41.77166,-87.703047,253
2009,41.773215,-87.60088,235
2009,41.776156,-87.778927,27
2009,41.778297,-87.752411,17
2009,41.793818,-87.654234,73
2009,41.798697,-87.736812,92
2009,41.800737,-87.71188,39
2009,41.801179,-87.679447,41
2009,41.801498,-87.763416,621
2009,41.803423,-87.642984,57
2009,41.821582,-87.627796,13
2009,41.822536,-87.666343,140
2009,41.82561,-87.726549,142
2009,41.846075,-87.716277,114
2009,41.857402,-87.694991,31
2009,41.867108,-87.654224,739
2009,41.868077,-87.666901,430
2009,41.868142,-87.696269,74
2009,41.891118,-87.654491,110
2009,41.896282,-87.655232,60
2009,41.89923,-87.716788,81
2009,41.903002,-87.688267,219
2009,41.904194,-87.756155,24
2009,41.906638,-87.701431,81
2009,41.907645,-87.760886,65
2009,41.911824,-87.726737,43
2009,41.916265,-87.800515,205
2009,41.9216,-87.666455,1
2009,41.921965,-87.632085,355
2009,41.923738,-87.785288,63
2009,41.925198,-87.746381,86
2009,41.932094,-87.700117,139
2009,41.94016,-87.794896,274
2009,41.944869,-87.832763,417
2009,41.947227,-87.671457,11
2009,41.948167,-87.730698,183
2009,41.951866,-87.725057,39
2009,41.95469,-87.800991,818
2009,41.957799,-87.930995,1079
2009,41.960616,-87.777189,55
2009,41.963976,-87.69181,369
2009,41.964242,-87.757639,153
2009,41.973845,-87.805059,219
2009,41.974689,-87.890615,5488
2009,41.986921,-87.689778,253
2009,41.991429,-87.747113,147
2009,41.992478,-87.862995,362
2009,42.008314,-87.777921,447
2009,42.010412,-87.66214,19
2009,42.011601,-87.811506,214
2009,42.01743,-87.687769,124
2011,41.659112,-87.538693,48
2011,41.662014,-87.724608,185
2011,41.673408,-87.599862,871
2011,41.678618,-87.559308,162
2011,41.680946,-87.535198,44
2011,41.682587,-87.707973,60
2011,41.704336,-87.703736,231
2011,41.704572,-87.565666,185
2011,41.720848,-87.666014,277
2011,41.723195,-87.64997,47
2011,41.726465,-87.585413,242
2011,41.728495,-87.600963,110
2011,41.732984,-87.649642,43
2011,41.733643,-87.55551,31
2011,41.738903,-87.695443,18
2011,41.740641,-87.546587,45
2011,41.743402,-87.731435,134
2011,41.750498,-87.605294,77
2011,41.753391,-87.707394,34
2011,41.754292,-87.590773,33
2011,41.754676,-87.612922,67
2011,41.763733,-87.742302,47
2011,41.766202,-87.562889,33
2011,41.768388,-87.678649,14
2011,41.77166,-87.703047,95
2011,41.773215,-87.60088,197
2011,41.776156,-87.778927,44
2011,41.776428,-87.627096,162
2011,41.778297,-87.752411,203
2011,41.778748,-87.586427,9
2011,41.793818,-87.654234,355
2011,41.798697,-87.736812,1313
2011,41.800737,-87.71188,41
2011,41.801179,-87.679447,92
2011,41.801498,-87.763416,488
2011,41.803423,-87.642984,115
2011,41.821582,-87.627796,20
2011,41.822536,-87.666343,52
2011,41.82561,-87.726549,160
2011,41.846075,-87.716277,67
2011,41.857402,-87.694991,5
2011,41.867108,-87.654224,297
2011,41.868077,-87.666901,346
2011,41.868142,-87.696269,357
2011,41.891118,-87.654491,38
2011,41.896282,-87.655232,36
2011,41.89923,-87.716788,118
2011,41.903002,-87.688267,296
2011,41.904194,-87.756155,227
2011,41.906638,-87.701431,59
2011,41.911824,-87.726737,35
2011,41.912563,-87.668055,79
2011,41.916265,-87.800515,845
2011,41.921965,-87.632085,196
2011,41.923738,-87.785288,140
2011,41.925198,-87.746381,126
2011,41.932094,-87.700117,148
2011,41.94016,-87.794896,113
2011,41.944869,-87.832763,431
2011,41.947227,-87.671457,48
2011,41.948167,-87.730698,89
2011,41.951866,-87.725057,58
2011,41.95469,-87.800991,360
2011,41.957799,-87.930995,1054
2011,41.960616,-87.777189,35
2011,41.963976,-87.69181,40
2011,41.964242,-87.757639,572
2011,41.973845,-87.805059,797
2011,41.974689,-87.890615,4209
2011,41.984809,-87.728492,250
2011,41.986921,-87.689778,79
2011,41.98728,-87.666066,15
2011,41.991429,-87.747113,38
2011,41.992478,-87.862995,30
2011,41.994679,-87.770899,17
2011,42.008314,-87.777921,533
2011,42.009876,-87.807277,93
2011,42.010412,-87.66214,23
2011,42.01743,-87.687769,33
2013,41.659112,-87.538693,934
2013,41.662014,-87.724608,524
2013,41.673408,-87.599862,1134
2013,41.680946,-87.535198,503
2013,41.682587,-87.707973,1140
2013,41.704336,-87.703736,146
2013,41.704572,-87.565666,526
2013,41.71914,-87.669539,41
2013,41.720848,-87.666014,508
2013,41.723195,-87.64997,162
2013,41.726465,-87.585413,279
2013,41.728495,-87.600963,1011
2013,41.732984,-87.649642,645
2013,41.733643,-87.55551,58
2013,41.740641,-87.546587,457
2013,41.743402,-87.731435,820
2013,41.750498,-87.605294,404
2013,41.754292,-87.590773,186
2013,41.754676,-87.612922,242
2013,41.763733,-87.742302,168
2013,41.766202,-87.562889,133
2013,41.768388,-87.678649,218
2013,41.77166,-87.703047,706
2013,41.773215,-87.60088,236
2013,41.776156,-87.778927,222
2013,41.776428,-87.627096,395
2013,41.778297,-87.752411,219
2013,41.778748,-87.586427,38
2013,41.793818,-87.654234,420
2013,41.798697,-87.736812,472
2013,41.800737,-87.71188,319
2013,41.801179,-87.679447,453
2013,41.801498,-87.763416,329
2013,41.803423,-87.642984,278
2013,41.822536,-87.666343,343
2013,41.82561,-87.726549,185
2013,41.846075,-87.716277,173
2013,41.857402,-87.694991,61
2013,41.867108,-87.654224,640
2013,41.868077,-87.666901,594
2013,41.868142,-87.696269,425
2013,41.891118,-87.654491,128
2013,41.896282,-87.655232,57
2013,41.89923,-87.716788,1355
2013,41.904194,-87.756155,393
2013,41.906638,-87.701431,291
2013,41.911824,-87.726737,164
2013,41.912563,-87.668055,207
2013,41.916265,-87.800515,572
2013,41.921965,-87.632085,431
2013,41.923738,-87.785288,643
2013,41.925198,-87.746381,88
2013,41.925652,-87.63359,145
2013,41.932094,-87.700117,175
2013,41.944869,-87.832763,171
2013,41.947227,-87.671457,225
2013,41.951866,-87.725057,546
2013,41.95469,-87.800991,1792
2013,41.957799,-87.930995,194
2013,41.960616,-87.777189,120
2013,41.963976,-87.69181,167
2013,41.964242,-87.757639,407
2013,41.973845,-87.805059,265
2013,41.974689,-87.890615,5689
2013,41.984809,-87.728492,367
2013,41.986921,-87.689778,568
2013,41.98728,-87.666066,506
2013,41.991429,-87.747113,607
2013,41.992478,-87.862995,1085
2013,41.994679,-87.770899,358
2013,42.008314,-87.777921,1162
2013,42.009876,-87.807277,665
2013,42.010412,-87.66214,50